2018-01-15 17:06:42 INFO  [main] us.codecraft.webmagic.Spider  - Spider search.51job.com started!
2018-01-15 17:07:25 INFO  [pool-1-thread-3] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/nanjing/95434322.html?s=01&t=0
2018-01-15 17:07:25 INFO  [pool-1-thread-5] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/ningbo/95581084.html?s=01&t=0
2018-01-15 17:07:26 INFO  [pool-1-thread-1] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://search.51job.com/list/000000,000000,0100,00,9,99,%2B,2,7.html?lang=c&stype=1&postchannel=0000&workyear=99&cotype=99&degreefrom=99&jobterm=99&companysize=99&lonlat=0%2C0&radius=-1&ord_field=0&confirmdate=9&fromType=&dibiaoid=0&address=&line=&specialarea=00&from=&welfare=
2018-01-15 17:07:28 INFO  [pool-1-thread-10] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/shanghai/97828677.html?s=01&t=0
2018-01-15 17:07:28 INFO  [pool-1-thread-8] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/hefei/76859639.html?s=01&t=0
2018-01-15 17:07:28 INFO  [pool-1-thread-4] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/guangzhou/96727307.html?s=01&t=0
2018-01-15 17:07:28 INFO  [pool-1-thread-2] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/guangzhou/97346835.html?s=01&t=0
2018-01-15 17:07:28 INFO  [pool-1-thread-6] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/jinan/81357916.html?s=01&t=0
2018-01-15 17:07:29 INFO  [pool-1-thread-1] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/suzhou/65852534.html?s=01&t=0
2018-01-15 17:07:29 INFO  [pool-1-thread-9] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/enshi/85019295.html?s=01&t=0
2018-01-15 17:07:29 INFO  [pool-1-thread-7] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/wuhan/97829997.html?s=01&t=0
2018-01-15 17:07:29 INFO  [pool-1-thread-3] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/foshan/93638468.html?s=01&t=0
2018-01-15 17:07:29 INFO  [pool-1-thread-5] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/chengdu/84798426.html?s=01&t=0
2018-01-15 17:07:32 INFO  [pool-1-thread-10] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/xuzhou/83407942.html?s=01&t=0
2018-01-15 17:07:32 INFO  [pool-1-thread-8] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/xian/97827991.html?s=01&t=0
2018-01-15 17:07:32 INFO  [pool-1-thread-6] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/shanghai/87953600.html?s=01&t=0
2018-01-15 17:07:32 INFO  [pool-1-thread-4] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/shanghai/97811648.html?s=01&t=0
2018-01-15 17:07:32 INFO  [pool-1-thread-2] us.codecraft.webmagic.downloader.HttpClientDownloader  - downloading page success http://jobs.51job.com/hefei/97828732.html?s=01&t=0
